Alter;Lesen_gedr_Bücher_Comics;Lesen_E-Books;Fernsehen;Hörspiele_Hörbücher;Computernutzung_offline;Onlinedienste;Radio_hören;Musik_hören;Kino_gehen;Lesen_gedr_Zeitungen;Lesen_Internet_Zeitungen;Lesen_gedr_Zeitschriften;Lesen_Internet_Zeitschriften;Schauen_aufgez_Sendungen;Nutzen_Handy;Schauen_FotosVideos_Smartphone;Schauen_StreamingDienste;Nutzen_Tablet;Schauen_OnlineVideos;Nutzen_WhatsApp;Nutzen_Facebook;Nutzen_GooglePlus;Nutzen_Twitter;Nutzen_Snapchat;Nutzen_Instagram;Nutzen_YouNow;Nutzen_Periscope;Nutzen_Meercat;Nutzen_Tinder;Nutzen_Tumblr;Nutzen_Pinterest;Nutzen_YouTube;Youtube_Account;Youtube_Musikvideos;Youtube_Fernsehsendungen;Youtube_Tutorials;Youtube_Produkttests;Youtube_LetsPlay;Youtube_LustigeClips;Youtube_Sportvideos;Youtube_ActionCam;Youtube_ModeBeauty;Youtube_Nachrichten;Youtube_Schule;YouTube_Comedy;Youtube_eigVideosEinstellen;Spielen_OnlineSpiele;Spielen_OfflineSpielePC;Spielen_Konsole;Spielen_Handy;Spielen_Tablet;Spielen_Gerät;Schule_Lernen_Minuten;Schule_PCNutzen_Minuten;Medium_Vertrauen;Radiogerät_Vorhanden;Radiogerät_Besitz;RadiogerätInternet_Vorhanden;RadiogerätInternet_Besitz;Fernseher_Vorhanden;Fernseher_Besitz;FernseherInternet_Vorhanden;FernseherInternet_Besitz;DVDPlayer_Vorhanden;DVDPlayer_Besitz;Tablet_Vorhanden;Tablet_Besitz;Laptop_Vorhanden;Laptop_Besitz;Computer_Vorhanden;Computer_Besitz;FesteKonsole_Vorhanden;FesteKonsole_Besitz;tragKonsole_Vorhanden;tragKonsole_Besitz;Smartphone_Vorhanden;Smartphone_Besitz;Handy_Vorhanden;Handy_Besitz;MP3-Player_Vorhanden;MP3-Player_Besitz;StreamingBox_Vorhanden;StreamingBox_Besitz;E-Reader_Vorhanden;E-Reader_Besitz;Geschlecht;Schule;Klasse
17;5;3;6;2;6;7;3;7;3;1;1;1;5;3;7;7;7;2;7;7;1;1;1;7;5;1;1;1;2;1;3;True;True;2.0;3.0;2.0;2.0;6.0;1.0;1.0;1.0;1.0;3.0;2.0;7.0;1;6;6;2;5;1;2;7200.0;0.0;2;True;True;False;False;True;True;False;False;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;männlich;3;12
17;5;3;4;1;6;7;6;7;2;6;2;4;1;5;7;7;7;3;7;7;1;1;2;4;3;1;1;1;1;1;1;True;True;6.0;1.0;4.0;2.0;5.0;5.0;6.0;5.0;1.0;6.0;3.0;6.0;4;6;2;1;1;1;2;0.0;20.0;4;True;True;True;True;True;False;True;False;True;True;True;False;True;True;True;True;True;True;False;False;True;True;True;True;True;True;False;False;True;False;männlich;3;11
14;2;1;6;1;6;6;5;7;3;5;6;5;6;1;7;7;6;2;7;7;1;2;3;7;7;1;1;1;1;1;2;True;True;5.0;6.0;7.0;6.0;3.0;7.0;6.0;3.0;1.0;6.0;1.0;5.0;2;6;6;2;3;2;3;30.0;10.0;2;True;True;False;False;True;True;True;True;False;False;True;True;True;True;True;True;True;True;True;True;True;True;False;False;True;True;True;False;False;False;männlich;3;8
15;4;1;6;2;1;7;2;6;4;2;6;6;2;1;7;6;6;4;7;7;1;1;7;1;6;1;1;1;1;1;1;True;True;4.0;5.0;5.0;6.0;7.0;7.0;2.0;2.0;1.0;6.0;3.0;6.0;5;7;4;6;6;1;2;200.0;0.0;5;False;False;False;False;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;False;True;False;False;False;False;False;männlich;3;8
15;1;2;4;1;1;7;1;7;3;3;1;1;1;1;7;7;7;1;7;7;1;2;5;7;7;1;1;1;1;1;1;True;True;6.0;6.0;3.0;1.0;1.0;3.0;5.0;7.0;1.0;4.0;2.0;5.0;1;4;1;3;1;1;3;30.0;60.0;5;True;False;True;False;True;True;True;True;True;True;True;True;True;True;False;False;True;True;False;False;True;False;False;False;True;False;False;False;False;False;männlich;3;8
15;6;1;7;1;2;7;7;3;2;3;2;3;4;3;7;7;7;2;7;7;1;1;1;1;1;1;1;1;1;1;1;True;True;5.0;4.0;3.0;4.0;1.0;6.0;6.0;1.0;5.0;3.0;2.0;6.0;1;1;1;1;6;1;3;10.0;30.0;4;True;True;False;False;True;False;True;False;True;False;True;False;True;False;False;False;False;False;False;False;True;True;False;False;False;False;True;False;True;False;weiblich;3;10
13;7;7;7;2;1;7;7;6;2;5;1;3;1;4;7;7;7;6;7;7;7;1;1;1;7;1;1;1;1;1;1;True;True;6.0;7.0;1.0;4.0;3.0;7.0;1.0;1.0;1.0;1.0;5.0;7.0;1;7;1;5;7;7;3;60.0;30.0;5;True;True;False;False;True;False;True;False;True;False;True;True;True;True;True;False;True;False;True;True;True;True;False;False;False;False;False;False;True;False;weiblich;3;7
15;2;1;5;1;2;7;2;6;2;1;2;1;1;2;7;7;7;1;7;7;1;1;1;7;7;1;1;1;1;1;1;True;True;5.0;1.0;3.0;1.0;1.0;4.0;2.0;;1.0;2.0;1.0;2.0;1;4;3;5;6;1;5;10.0;2.0;5;False;False;False;False;True;True;False;False;True;True;False;False;True;True;False;False;True;True;False;False;True;True;True;False;False;False;True;False;False;False;männlich;3;10
15;7;2;7;7;6;7;7;7;2;7;6;3;1;5;6;2;5;1;7;6;1;1;1;1;6;1;1;1;1;1;2;True;True;7.0;6.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;6.0;1.0;2.0;1;2;7;6;4;1;2;5.0;2.0;1;True;True;True;False;True;False;True;False;True;False;False;False;True;False;True;True;True;True;True;True;True;True;True;False;True;False;False;False;True;False;weiblich;3;9
17;2;2;7;1;2;7;3;7;2;2;3;1;2;2;7;3;7;6;6;7;1;1;1;7;7;1;1;1;1;4;3;True;True;4.0;1.0;4.0;2.0;1.0;2.0;1.0;1.0;4.0;1.0;2.0;2.0;1;1;1;1;1;1;1;0.0;30.0;4;True;False;False;False;True;False;True;False;True;False;True;False;True;True;False;False;False;False;True;True;True;True;True;False;True;False;False;False;True;True;weiblich;3;12
18;3;1;4;2;5;7;7;7;3;3;2;2;4;3;7;7;7;5;7;7;3;1;4;7;5;1;1;1;1;1;1;True;True;5.0;2.0;2.0;2.0;7.0;3.0;4.0;2.0;2.0;2.0;2.0;2.0;1;7;5;6;7;2;2;10.0;5.0;4;True;False;True;True;True;True;True;False;True;False;True;False;True;False;True;True;True;False;True;True;True;True;True;False;False;False;False;False;False;False;männlich;3;11
12;2;1;2;3;1;7;2;6;2;6;2;2;1;3;2;2;6;2;6;2;1;1;1;1;1;1;1;1;1;1;1;True;True;6.0;5.0;4.0;2.0;6.0;2.0;1.0;1.0;1.0;2.0;2.0;3.0;2;7;2;1;1;1;2;60.0;5.0;5;True;False;True;False;True;False;True;False;True;False;True;False;True;False;False;False;False;False;False;False;True;True;True;False;True;True;False;False;False;False;männlich;3;7
18;7;7;7;6;1;7;7;7;3;6;7;5;7;5;7;7;7;7;6;7;7;5;1;7;7;1;1;1;1;1;1;True;True;4.0;7.0;5.0;4.0;1.0;1.0;5.0;5.0;6.0;2.0;6.0;1.0;1;1;1;2;5;4;3;40.0;300.0;2;True;True;True;False;True;True;True;False;True;False;True;True;True;False;False;False;True;False;True;True;True;True;False;False;False;False;False;False;True;True;weiblich;3;11
17;2;1;6;2;4;7;6;7;3;6;2;2;2;4;7;7;6;2;7;7;4;2;6;7;7;1;1;1;1;1;1;True;True;6.0;2.0;2.0;5.0;5.0;6.0;6.0;5.0;6.0;5.0;4.0;6.0;1;6;2;6;2;1;5;35.0;20.0;5;True;False;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;False;False;False;False;True;True;False;False;männlich;3;11
14;7;1;6;3;5;6;7;7;2;7;2;5;2;5;6;5;5;1;5;6;1;1;1;1;1;1;1;1;1;1;1;True;False;4.0;4.0;1.0;1.0;4.0;2.0;4.0;1.0;1.0;2.0;1.0;2.0;1;1;1;1;1;1;1;10.0;0.0;2;True;True;False;False;True;False;False;False;True;False;False;False;True;False;True;False;True;False;False;False;True;True;True;False;True;True;False;False;True;False;männlich;3;8
17;1;6;5;1;2;7;6;7;3;4;6;2;6;5;7;7;7;6;7;7;3;1;1;7;7;1;1;1;1;1;1;True;True;5.0;6.0;2.0;5.0;7.0;7.0;7.0;5.0;2.0;6.0;3.0;6.0;1;5;6;1;2;1;2;30.0;30.0;2;True;True;True;False;True;False;True;False;True;True;True;True;True;False;True;True;False;False;False;False;True;True;False;False;True;True;True;False;False;False;männlich;3;11
18;5;2;1;2;3;7;5;7;2;4;2;1;1;2;7;4;6;2;6;6;1;1;1;6;6;1;1;1;1;6;1;True;True;6.0;1.0;4.0;2.0;5.0;4.0;2.0;;2.0;3.0;2.0;1.0;1;4;4;2;2;2;2;30.0;10.0;2;True;False;True;False;True;False;False;False;True;False;True;True;True;True;True;False;True;False;True;True;True;True;True;True;True;False;True;False;True;True;weiblich;3;11
17;5;6;6;1;5;7;6;7;3;5;6;3;1;5;7;7;7;6;7;7;2;1;5;7;7;1;1;1;1;1;2;True;True;5.0;6.0;4.0;2.0;4.0;6.0;6.0;5.0;5.0;1.0;4.0;5.0;1;4;4;2;1;1;2;60.0;30.0;1;False;False;False;False;True;True;True;True;False;False;True;True;False;False;True;True;False;False;False;False;True;True;False;False;True;True;False;False;True;False;männlich;3;11
18;2;1;5;1;7;7;5;7;3;2;2;2;2;4;7;7;7;1;7;7;1;1;7;7;7;1;1;1;1;1;1;True;True;7.0;7.0;7.0;7.0;7.0;7.0;7.0;3.0;1.0;5.0;6.0;7.0;1;7;7;7;7;1;2;30.0;600.0;4;True;False;True;False;True;True;False;False;True;True;False;False;True;False;True;True;True;True;True;True;True;True;True;False;True;False;False;False;False;False;männlich;3;11
18;2;7;4;3;6;7;6;7;1;2;1;3;1;2;7;3;6;1;6;7;1;6;2;1;1;1;1;1;1;3;2;True;True;4.0;5.0;2.0;1.0;3.0;6.0;1.0;1.0;1.0;6.0;3.0;5.0;1;6;4;3;7;1;3;20.0;0.0;5;True;True;True;False;True;False;True;False;True;False;False;False;True;True;False;False;True;True;True;True;True;True;True;True;False;False;False;False;True;False;männlich;3;11
17;6;2;6;3;6;7;6;7;2;5;1;2;1;6;7;6;6;6;6;7;1;1;1;4;2;1;1;1;1;1;1;True;True;5.0;1.0;1.0;1.0;3.0;6.0;1.0;1.0;1.0;5.0;4.0;6.0;1;1;4;4;6;4;3;120.0;100.0;2;True;True;False;False;True;False;True;False;True;False;True;True;True;False;True;False;True;True;True;True;True;True;False;False;True;False;False;False;False;False;weiblich;3;11
20;6;1;6;2;6;7;2;6;3;3;7;3;7;5;7;6;7;1;6;7;2;1;1;6;1;6;1;1;1;1;1;True;True;6.0;6.0;1.0;1.0;2.0;2.0;6.0;1.0;1.0;6.0;5.0;1.0;1;1;5;1;5;1;2;240.0;180.0;2;True;False;False;False;True;True;True;True;True;True;True;False;True;True;True;True;True;False;True;True;True;True;False;False;False;False;False;False;False;False;männlich;3;12
17;2;1;1;2;7;7;1;7;2;1;1;1;1;2;7;7;7;1;7;7;1;1;1;1;1;1;1;1;1;1;1;True;True;5.0;1.0;4.0;2.0;5.0;2.0;1.0;1.0;1.0;2.0;2.0;3.0;2;6;7;1;3;1;2;20.0;7.0;4;True;False;False;False;True;False;False;False;True;False;True;False;True;False;True;True;False;False;True;True;True;True;False;False;False;False;False;False;False;False;männlich;3;11
17;2;4;6;1;2;7;7;7;2;2;1;2;2;2;7;7;7;2;5;7;5;1;5;7;7;1;1;1;1;1;1;True;True;3.0;2.0;5.0;5.0;1.0;;2.0;1.0;5.0;2.0;3.0;;1;6;2;1;6;2;3;60.0;30.0;4;True;True;False;False;True;False;True;False;True;True;True;True;True;False;True;True;False;False;False;False;True;True;True;True;True;True;True;False;True;False;weiblich;3;11
12;6;2;7;6;6;7;7;7;2;1;1;4;1;2;7;7;6;7;6;7;1;1;1;6;1;1;1;1;1;1;1;True;False;6.0;1.0;5.0;1.0;4.0;1.0;1.0;1.0;6.0;2.0;1.0;1.0;1;1;5;2;5;5;2;240.0;10.0;3;True;True;False;False;True;False;True;False;True;False;True;False;True;False;False;False;True;False;True;True;True;True;False;False;True;True;False;False;True;True;weiblich;3;6
11;2;7;7;1;4;7;6;6;2;1;1;3;1;3;7;6;6;4;6;7;1;1;1;1;1;1;1;1;1;1;1;True;False;2.0;1.0;6.0;1.0;6.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;4;6;2;3;60.0;10.0;4;True;True;True;False;True;False;True;False;True;False;True;False;True;True;True;False;True;True;True;True;True;True;False;False;True;True;True;False;True;False;männlich;3;6
13;3;1;6;1;4;7;2;6;3;1;1;2;1;2;7;6;5;6;7;7;1;1;1;7;6;1;1;1;1;2;2;True;True;4.0;6.0;4.0;3.0;6.0;6.0;2.0;1.0;4.0;4.0;6.0;6.0;1;6;2;5;7;3;3;30.0;10.0;2;True;False;False;False;True;False;True;False;True;False;True;True;True;False;True;True;True;False;True;True;True;True;True;True;True;True;False;False;True;False;weiblich;3;8
17;7;1;5;3;6;7;5;7;2;6;6;6;6;4;7;7;7;1;7;7;1;2;1;7;7;1;1;1;1;1;1;True;True;7.0;1.0;3.0;2.0;5.0;6.0;2.0;2.0;2.0;5.0;6.0;2.0;1;7;5;3;7;1;3;180.0;60.0;2;True;True;True;True;True;True;False;False;True;False;True;False;True;True;True;False;True;False;True;True;True;True;False;False;True;True;False;False;True;False;weiblich;3;11
15;1;3;5;3;3;7;6;7;2;1;3;2;5;4;7;7;7;4;7;7;4;2;3;7;6;1;1;1;1;1;1;True;True;5.0;6.0;5.0;6.0;3.0;5.0;3.0;4.0;2.0;4.0;4.0;5.0;2;3;1;2;5;1;2;30.0;10.0;4;True;False;True;False;True;True;True;False;True;True;True;False;True;True;True;True;True;True;False;False;True;True;False;False;False;False;True;True;False;False;männlich;3;9
17;6;1;7;1;2;7;6;7;2;6;3;5;2;4;7;7;6;1;7;7;6;1;1;1;7;1;1;1;1;1;1;True;False;7.0;5.0;2.0;2.0;1.0;3.0;2.0;1.0;3.0;6.0;3.0;6.0;1;1;1;1;5;1;3;100.0;160.0;4;True;False;False;False;True;False;False;False;True;False;False;False;True;True;True;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;weiblich;3;11
19;6;1;7;1;2;7;6;7;2;5;2;1;1;4;7;6;6;1;6;7;7;2;1;7;6;4;1;1;1;1;1;True;False;6.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0;2.0;2.0;2.0;2.0;1;1;1;1;6;1;3;200.0;80.0;5;False;True;False;False;True;True;False;False;True;True;False;False;True;True;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;weiblich;3;11
16;2;1;7;2;1;7;6;7;2;5;6;3;6;4;7;5;7;1;7;7;5;1;1;7;7;1;1;1;1;1;1;True;True;7.0;2.0;2.0;2.0;7.0;7.0;7.0;1.0;1.0;1.0;2.0;6.0;1;6;1;7;7;1;5;70.0;40.0;5;True;True;True;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;True;True;True;True;True;False;True;True;False;False;True;False;männlich;3;10
15;1;2;6;7;2;7;5;6;3;7;1;5;1;3;7;7;7;2;7;7;1;1;5;7;7;1;1;1;1;1;1;True;True;4.0;3.0;2.0;2.0;6.0;5.0;2.0;2.0;1.0;6.0;3.0;4.0;1;6;7;1;5;1;2;120.0;360.0;5;False;False;False;False;True;True;True;False;True;True;False;False;True;True;False;False;False;False;False;False;True;True;False;False;True;False;True;False;True;True;männlich;3;9
18;4;1;6;1;6;7;7;7;1;3;7;7;5;2;7;7;7;1;7;7;1;3;1;7;1;1;1;1;1;1;1;True;True;2.0;3.0;3.0;3.0;1.0;5.0;5.0;6.0;2.0;5.0;3.0;6.0;1;5;5;5;7;1;3;10.0;240.0;4;True;True;False;False;True;False;True;False;True;False;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;männlich;3;12
16;7;1;6;1;1;7;6;7;2;3;2;3;1;2;7;7;6;1;4;7;6;1;1;7;7;1;1;1;1;1;3;True;False;3.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;3.0;1.0;2.0;1.0;1;1;1;1;1;1;1;60.0;10.0;2;False;False;False;False;True;False;True;False;True;False;False;False;True;True;False;False;True;False;False;False;True;True;False;False;False;False;True;False;False;False;weiblich;3;10
19;6;2;7;1;3;7;7;7;2;6;3;5;2;1;7;4;6;2;3;7;6;7;2;7;7;1;1;1;1;1;1;True;True;3.0;4.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;4.0;6.0;1.0;1;1;1;1;3;1;3;0.0;0.0;1;True;False;False;False;True;True;True;False;True;True;True;True;True;True;True;False;True;True;True;False;True;True;False;False;False;False;True;True;True;True;weiblich;3;12
12;6;1;4;6;3;6;2;3;2;1;1;2;1;2;7;5;6;3;6;7;1;1;1;1;1;1;1;1;1;1;1;True;False;6.0;2.0;2.0;;;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1;6;2;5;6;2;2;60.0;10.0;1;True;False;False;False;True;False;True;False;True;False;True;False;True;False;True;True;True;True;False;False;True;True;False;False;True;True;True;False;True;False;männlich;3;6
11;7;1;5;4;1;6;2;5;2;5;1;1;1;5;6;1;2;4;2;1;1;1;1;1;1;1;1;1;1;1;1;True;False;5.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;;1;1;1;1;1;2;1;90.0;15.0;1;True;False;True;False;False;False;False;False;True;False;True;False;True;False;True;False;False;False;False;False;False;False;True;True;True;False;False;False;False;False;weiblich;3;5
14;6;6;6;1;2;7;4;7;3;3;2;5;2;5;7;6;7;2;7;7;1;1;1;7;7;1;1;1;1;1;1;True;True;6.0;7.0;5.0;6.0;6.0;6.0;2.0;2.0;5.0;3.0;4.0;7.0;1;2;2;1;7;1;3;110.0;120.0;5;True;True;False;False;True;False;True;False;False;False;True;False;True;True;True;True;False;False;True;True;True;True;True;False;True;False;True;False;True;True;weiblich;3;8
18;3;1;7;2;7;7;5;7;2;5;7;3;1;4;7;7;7;2;7;7;4;1;1;3;7;1;1;1;1;1;1;True;True;7.0;7.0;6.0;5.0;2.0;6.0;6.0;4.0;1.0;3.0;5.0;3.0;3;5;1;1;1;1;2;65.0;30.0;4;True;False;False;False;True;True;True;True;True;True;True;False;True;False;True;True;True;True;True;False;True;True;True;False;True;False;True;True;True;False;männlich;3;12
14;7;1;7;1;5;4;7;7;3;5;2;2;2;4;7;7;7;4;7;7;1;2;1;7;7;1;1;1;1;2;2;True;True;6.0;3.0;5.0;2.0;2.0;7.0;1.0;1.0;2.0;4.0;6.0;7.0;1;3;1;1;5;6;3;90.0;120.0;2;True;True;True;False;True;False;False;False;True;True;True;False;True;True;True;False;False;False;False;False;True;True;True;False;True;True;False;False;False;False;weiblich;3;10
14;4;1;2;1;1;7;6;7;3;2;2;2;2;5;7;7;5;1;7;7;1;1;2;1;7;1;1;1;1;1;1;True;True;6.0;6.0;7.0;6.0;7.0;7.0;2.0;2.0;1.0;5.0;4.0;7.0;4;7;2;6;5;1;2;120.0;30.0;5;True;False;False;False;True;False;True;False;True;False;True;False;True;False;True;True;True;True;True;True;True;True;False;False;True;False;False;False;True;False;männlich;3;8
15;3;7;6;1;1;7;7;6;2;5;1;2;1;4;7;6;6;1;7;7;1;6;1;7;7;1;1;1;1;1;3;True;False;4.0;6.0;;4.0;1.0;1.0;2.0;2.0;3.0;2.0;5.0;6.0;1;1;1;1;6;1;3;45.0;100.0;4;True;True;False;False;True;False;False;False;True;False;False;False;True;True;True;False;True;False;False;False;True;False;True;True;False;False;False;False;True;True;weiblich;3;9
15;3;7;7;2;1;7;7;6;2;5;1;3;1;4;7;6;6;1;6;7;1;6;1;7;7;1;1;1;1;1;4;True;False;4.0;6.0;4.0;5.0;1.0;1.0;4.0;2.0;5.0;2.0;5.0;6.0;1;1;1;1;7;1;3;65.0;120.0;4;True;True;False;False;True;False;False;False;True;False;True;False;True;True;True;False;True;False;False;False;True;False;True;True;False;False;False;False;True;True;weiblich;3;9
15;7;3;4;2;1;7;6;7;3;2;2;3;2;3;7;7;5;3;4;7;1;1;1;6;7;1;1;1;1;6;1;True;True;6.0;2.0;;1.0;1.0;3.0;1.0;1.0;2.0;2.0;3.0;2.0;1;6;1;3;6;1;3;90.0;15.0;5;True;False;False;False;True;False;True;False;True;True;True;False;True;False;True;False;True;False;True;False;True;True;False;False;True;False;False;False;True;True;weiblich;3;10
14;6;2;6;2;6;7;7;7;2;5;2;6;2;5;7;7;7;6;7;7;1;1;3;7;7;1;1;1;1;3;1;True;True;7.0;2.0;2.0;2.0;6.0;6.0;5.0;2.0;5.0;5.0;;6.0;1;6;2;6;1;2;2;40.0;10.0;1;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;False;True;False;True;False;True;False;männlich;3;9
17;7;2;6;7;3;7;6;7;2;6;7;6;7;1;7;7;7;4;7;7;1;1;2;7;7;1;1;1;1;1;1;True;True;7.0;4.0;5.0;6.0;1.0;6.0;6.0;1.0;1.0;6.0;3.0;6.0;1;6;1;2;7;1;2;30.0;15.0;2;True;False;True;True;True;False;True;False;False;False;True;False;True;True;True;True;False;False;False;False;True;True;False;False;False;False;True;True;True;False;männlich;3;11
14;2;2;7;2;1;7;7;5;2;6;1;1;1;2;7;7;7;7;7;7;4;1;7;7;7;1;1;1;1;1;1;True;True;3.0;7.0;3.0;4.0;6.0;6.0;6.0;2.0;1.0;4.0;1.0;6.0;1;7;1;7;2;6;3;30.0;0.0;5;True;True;False;False;True;False;True;False;True;True;True;True;True;True;True;False;True;True;False;False;True;True;False;False;True;False;False;False;True;True;männlich;3;8
13;3;2;7;1;4;7;6;6;2;2;3;2;1;1;7;6;7;2;7;7;6;2;6;1;6;1;1;1;1;1;1;True;True;1.0;1.0;2.0;3.0;1.0;2.0;2.0;1.0;1.0;2.0;2.0;6.0;1;7;2;4;7;1;2;60.0;2.0;5;True;True;True;True;True;False;True;False;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;False;True;False;False;False;männlich;3;7
12;2;1;6;1;3;1;2;7;2;1;1;2;1;1;6;2;6;1;6;1;1;1;1;1;1;1;1;1;1;1;1;True;False;6.0;1.0;1.0;2.0;1.0;6.0;1.0;;1.0;1.0;1.0;6.0;1;4;2;6;6;1;3;120.0;60.0;2;True;True;False;False;True;False;True;False;True;True;False;False;False;False;True;True;False;False;False;False;False;False;True;True;True;True;False;False;False;False;weiblich;3;6
14;1;2;7;1;2;7;2;7;2;2;1;1;1;3;7;7;7;2;6;7;1;2;6;5;7;1;1;1;1;1;1;True;True;5.0;2.0;4.0;3.0;6.0;4.0;2.0;1.0;1.0;4.0;1.0;5.0;1;7;5;7;7;2;5;300.0;20.0;2;True;False;False;False;True;True;True;True;True;False;True;False;True;False;True;False;True;True;False;False;True;True;True;False;True;False;False;False;True;False;männlich;3;8
